,index,coffee_name,total_score,roaster_location,coffee_origin,roast_level,est_price,agtron_ground,agtron_roast,price_per_ounce,origin_country,roast_level2,roast_level_count,total_score2,total_score_count
636,637,Ethiopia Chelbesa Danche Yirgacheffe,94.0,"San Diego, California","Chelchele, Gedeb District, Gedeo Zone, Ethiopia",Medium Light,$24.00/12 ounces,60.0,77.0,24.0,Ethiopia,,,,
637,638,Ethiopia Honey Process Tamiru Tadesse,94.0,"Big Lake, Alaska","Sidamo growing region, south-central Ethiopia",Light,$35.00/10 ounces,64.0,83.0,35.0,Ethiopia,,,,
638,639,Ethiopia Halo Beriti,96.0,"Lexington, Virginia","Yirgacheffe growing region, southern Ethiopia",Medium Light,$20.95/12 ounces,60.0,77.0,20.95,Ethiopia,,,,
639,640,Narsha Gesha,96.0,"Denver, Colorado","Bench-Maji Zone, southern Ethiopia",Light,$35.00/200 grams,63.0,81.0,1.2345679012345678,Ethiopia,,,,
640,641,Ethiopia Washed Guji Uraga Welichu,96.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,NT $375/8 ounces,58.0,78.0,375.0,Ethiopia,,,,
641,642,Don Roger & Isabel’s Natural Fruit Symphony,94.0,"Rochester, New York","Jinotega Department, Nicaragua",Medium Light,$19.00/175 grams,60.0,77.0,0.6701940035273368,Nicaragua,,,,
642,643,Kenya Gitare AA TOP,95.0,"Chia-Yi, Taiwan","Embu County, Eastern Province, Kenya",Light,NT $340/8 ounces,62.0,80.0,340.0,Kenya,,,,
643,644,Yemen Natural Sana’a Manakhah Ja’adi,95.0,"Chia-Yi, Taiwan","Manakhah, Sana'a, Yemen",Medium Light,NT $900/4 ounces,58.0,77.0,900.0,Yemen,,,,
644,645,Ethiopia Bench Maji Gesha Special Natural Lot 03,95.0,"Chia-Yi, Taiwan","Bench-Maji Zone, southern Ethiopia",Light,NT $400/8 ounces,64.0,81.0,400.0,Ethiopia,,,,
645,646,Ethiopia Yirgacheffe Kochere Debo Premium Lot Washed Process,94.0,"Taipei, Taiwan","Yirgacheffe growing region, southern Ethiopia",Light,NT $459/8 ounces,62.0,80.0,459.0,Ethiopia,,,,
646,647,Ethiopia Natural Yirgacheffe Burtukaana Danche,94.0,"Chia-Yi, Taiwan","Gedeo Zone, southern Ethiopia",Medium Light,NT $350/8 ounces,60.0,78.0,350.0,Ethiopia,,,,
647,648,Ethiopia Hateso Guji Washed,94.0,"Bozeman, Montana","Guji Zone, Oromia Region, Ethiopia",Medium Light,$20.00/12 ounces,59.0,78.0,20.0,Ethiopia,,,,
648,649,Guatemala El Injerto Pacamara,94.0,"San Rafael, California","La Libertad, Huehuetenango Department, Guatemala",Medium Light,$22.00/6 ounces,58.0,74.0,22.0,Guatemala,,,,
649,650,Colombia Finca Samboni Gesha Anaerobic Natural,95.0,"Charlotte, North Carolina","Algeciras, Huila Department, Colombia",Light,$45.00/12 ounces,62.0,80.0,45.0,Colombia,,,,
650,651,Colombia Tres Dragones,94.0,"San Diego, California","Caicedonia, Valle de Cauca Department, Colombia",Light,$23.00/10 ounces,64.0,84.0,23.0,Colombia,,,,
651,652,Rwanda Cyesha Natural,94.0,"Charlotte, North Carolina","Nyamasheke District, Lake Kivu, Rwanda",Medium Light,$26.00/12 ounces,58.0,74.0,26.0,Rwanda,,,,
652,653,Espresso No. 3,94.0,"Antigua, Guatemala","Antigua growing region, Guatemala",Medium Light,$20.00/12 ounces,54.0,78.0,20.0,Guatemala,,,,
653,654,Finca Santa Isabel,94.0,"Antigua, Guatemala","Cobán growing region, Alta Verapaz Department, Guatemala",Medium Light,$13.00/12 ounces,58.0,76.0,13.0,Guatemala,,,,
654,655,Colombia Castillo Fruit Maceration Series (Passionfruit),95.0,"Jersey City, New Jersey","Armenia, Quindio Department, Colombia",Medium Light,$25.00/8 ounces,58.0,78.0,25.0,Colombia,,,,
655,656,Colombia Castillo Fruit Maceration Series (Strawberry),94.0,"Jersey City, New Jersey","Armenia, Quindio Department, Colombia",Medium Light,$25.00/8 ounces,61.0,78.0,25.0,Colombia,,,,
656,657,Colombia Castillo Fruit Maceration Series (Peach),94.0,"Jersey City, New Jersey","Armenia, Quindio Department, Colombia",Medium Light,$25.00/8 ounces,60.0,77.0,25.0,Colombia,,,,
657,658,Full Moon Espresso,95.0,"Taipei, Taiwan",Ethiopia; Guatemala; El Salvador; Panama; Costa Rica,Medium,NT $550/200 grams,48.0,64.0,19.400352733686066,Rica,,,,
658,659,Ethiopia Sidama Tamiru Tadesse Anaerobic Natural Special Auction Lot,95.0,"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,$10.00/4 ounces,62.0,80.0,10.0,Ethiopia,,,,
659,660,Colombia La Esperanza 100% Geisha Hanashaku,94.0,"Taoyuan, Taiwan","Valle de Cauca, Colombia",Light,NT$500/4 ounces,65.0,81.0,500.0,Colombia,,,,
660,661,Kona Extra Fancy,95.0,"Lincoln, California","Kona growing region, “Big Island” of Hawai’i",Medium Light,$45.99/12 ounces,58.0,74.0,45.99,,,,,
661,662,Costa Rica Las Lajas Perla Negra,94.0,"Durango, Colorado","Sabanilla de Alajuela growing region, Costa Rica",Medium Light,$18.95/12 ounces,57.0,76.0,18.95,Rica,,,,
662,663,Ecuador COE 1st place Arashi Typica Mejorado Washed,96.0,"Yilan, Taiwan","Saraguro, Loja, Ecuador",Light,NT $800/20 grams,62.0,80.0,28.21869488536155,Ecuador,,,,
663,664,Ethiopia Getu Kurume Natural,95.0,"Hsinchu, Taiwan","Yirgacheffe growing region, southern Ethiopia",Light,NT $460/8 ounces,64.0,86.0,460.0,Ethiopia,,,,
664,665,Fruit of the Goddess Espresso Blend,94.0,"Taipei City, Taiwan",Kenya; Costa Rica; Ethiopia,Medium Light,NT $550/454 grams,52.0,70.0,19.400352733686066,Ethiopia,,,,
665,666,Papua New Guinea Wahgi Valley Sigri Estate Peaberry,94.0,"Taipei City, Taiwan","Western Highlands Province, Papua New Guinea",Medium Light,NT $550/227 grams,57.0,77.0,19.400352733686066,Guinea,,,,
666,667,Kenya Nyeri Asali Peaberry,95.0,"Taipei City, Taiwan","Nyeri growing region, south-central Kenya",Medium Light,NT $500/227 grams,60.0,77.0,17.636684303350968,Kenya,,,,
667,668,Memories of Autumn,94.0,"Taitung, Taiwan",Ethiopia; Colombia,Light,NT$399/8 ounces,64.0,82.0,399.0,Colombia,,,,
668,669,Ethiopia Gera Estate Anaerobic Natural,95.0,"Charlotte, North Carolina","Djimma growing region, Oromia State, Ethiopia",Medium Light,$22.00/12 ounces,60.0,78.0,22.0,Ethiopia,,,,
669,670,Colombia Cauca Finca El Paraiso Double-Anaerobic Flor Lychee,95.0,"Changhua, Taiwan","Cauca Department, Colombia",Medium Light,NT $520/200g,60.0,78.0,,Colombia,,,,
670,671,Costa Rica Cerro Dragon Geisha Honey,94.0,"Bozeman, Montana","Tarrazú, Costa Rica",Medium Light,$30.00/12 ounces,59.0,78.0,30.0,Rica,,,,
671,672,Guatemala Washed El Injerto EI05 Mocca,96.0,"Chia-Yi, Taiwan","La Libertad, Huehuetenango Department, Guatemala",Light,NT $1200/4 ounces,61.0,81.0,1200.0,Guatemala,,,,
672,673,Taiwan Natural Alishan Zhuo-Wu Geisha,95.0,"Chia-Yi, Taiwan","Alishan, Chia-Yi, Taiwan",Medium Light,NT $600/50 grams,60.0,78.0,21.164021164021165,Taiwan,,,,
